"number","name","englishName","nameUz","audio","playing","numberOfAyahs"
"1","سُورَةُ ٱلْفَاتِحَةِ","Al-Faatiha","Fotiha","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/1.mp3","false","7"
"2","سُورَةُ البَقَرَةِ","Al-Baqara","Baqara","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/2.mp3","false","286"
"3","سُورَةُ آلِ عِمۡرَانَ","Aal-i-Imraan","Oli Imron","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/3.mp3","false","200"
"4","سُورَةُ النِّسَاءِ","An-Nisaa","Niso","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/4.mp3","false","176"
"5","سُورَةُ المَائـِدَةِ","Al-Maaida","Moida","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/5.mp3","false","120"
"6","سُورَةُ الأَنۡعَامِ","Al-An'aam","An'om","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/6.mp3","false","165"
"7","سُورَةُ الأَعۡرَافِ","Al-A'raaf","A'rof","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/7.mp3","false","206"
"8","سُورَةُ الأَنفَالِ","Al-Anfaal","Anfol","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/8.mp3","false","75"
"9","سُورَةُ التَّوۡبَةِ","At-Tawba","Tavba","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/9.mp3","false","129"
"10","سُورَةُ يُونُسَ","Yunus","Yunus","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/10.mp3","false","109"
"11","سُورَةُ هُودٍ","Hud","Hud","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/11.mp3","false","123"
"12","سُورَةُ يُوسُفَ","Yusuf","Yusuf","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/13.mp3","false","111"
"13","سُورَةُ الرَّعۡدِ","Ar-Ra'd","Ra'd","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/13.mp3","false","43"
"14","سُورَةُ إِبۡرَاهِيمَ","Ibrahim","Ibrohim","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/14.mp3","false","52"
"15","سُورَةُ الحِجۡرِ","Al-Hijr","Hijr","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/15.mp3","false","99"
"16","سُورَةُ النَّحۡلِ","An-Nahl","Nahl","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/16.mp3","false","128"
"17","سُورَةُ الإِسۡرَاءِ","Al-Israa","Isro","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/17.mp3","false","111"
"18","سُورَةُ الكَهۡفِ","Al-Kahf","Qahf","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/18.mp3","false","110"
"19","سُورَةُ مَرۡيَمَ","Maryam","Maryam","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/19.mp3","false","98"
"20","سُورَةُ طه","Taa-Haa","Toha","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/20.mp3","false","135"
"21","سُورَةُ الأَنبِيَاءِ","Al-Anbiyaa","Anbiyo","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/21.mp3","false","112"
